The system shall allow a user to foward notification to someone else at the site,The system shall allow the provider to redirect the notification concerning orders requiring signature to another provider,1
The system shall allow a user to foward notification to someone else at the site,The system shall provide the ability to permit an ordering clinician to forward all (current and future) expiring order notifications to another clinician,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to customize clinical templates,1
The system shall allow complete order sets to be predefined and personalized,The system shall provide the ability to display for selection a secondary,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to customize clinical templates,1
The system shall allow creation of personalized templates to fit the specific needs of individual practices,The system shall provide the ability to individualize alerts to address a patient's specific clinical situation,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to create and assign tasks by user or user role,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to identify the identity of the cosigning author of a note and record the date and time of original author and identity of signature,1
The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles,The system shall provide the ability to index and retrieve scanned documents based on the document type,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to export structured data which removes those identifiers listed in the HIPAA definition of a limited dataset. This export on hardcopy and electronic output shall leave the actual PHI data unmodified in the original record,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall provide the ability to present a list of tasks by user or user role,1
The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure,The system shall support removal of a user?s privileges without deleting the user from the system. The purpose of the criteria is to provide the ability to remove a user?s privileges,1
The system shall allow medication orders to be placed and filled from local stocks of medications while providing full auditing of all medication orders within the medication profile,The system shall provide the ability to maintain a discrete list of orderable medications,1
The system shall allow other VistA applications to access the user class file to determine the role of an employee,The system shall provide the ability to access reports outside the EHR application,1
The system shall allow other VistA applications to access the user class file to determine the role of an employee,The system will provide secure remote access to patient data without the need to pre-load an application,1
The system shall allow other VistA applications to access the user class file to determine the role of an employee,If role-based access control (RBAC) is supported,1
The system shall allow physician offices to use social security numbers or medical record numbers to identify patients,The system shall associate (store and link) key identifier information (e.g.,1
The system shall allow several orders to be placed with the ability for a user to sign for them all at once,For each order type,1
The system shall allow user classes to be defined hospital-wide or more narrowly for a specific service,If the system archives health record information,1
The system shall allow user classes to be used across VistA to replace and/or complement security keys,The system shall associate (store and link) key identifier information (e.g.,1
The system shall allow users to enter time in several different formats,The system shall have the ability to format for export recorded time stamps using UTC based on ISO 8601.? Example: 1994-11-05T08:15:30-05:00 corresponds to November 5,1
The system shall allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and has full access privileges to all problem list options,If role-based access control (RBAC) is supported,1
The system shall capture history of received immunizations,The system shall provide the ability to display CCD documents,1
The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers,The system shall provide the ability to query for a patient by more than one form of identification,1
